timestamp,power_kw,energy_kwh_cum
2025-06-15 00:53:00-07:00,2.2513535874193717,0.5628383968548429
2025-06-15 01:08:00-07:00,2.8216941491736414,1.2682619341482533
2025-06-15 01:23:00-07:00,0.0,1.2682619341482533
2025-06-15 01:38:00-07:00,0.0,1.2682619341482533
2025-06-15 01:53:00-07:00,0.3835212095018561,1.3641422365237172
2025-06-15 02:08:00-07:00,0.0,1.3641422365237172
2025-06-15 02:23:00-07:00,0.0,1.3641422365237172
2025-06-15 02:38:00-07:00,0.0,1.3641422365237172
2025-06-15 02:53:00-07:00,2.6381939245884856,2.0236907176708385
2025-06-15 03:08:00-07:00,2.333375806286845,2.60703466924255
2025-06-15 03:23:00-07:00,0.19809209268364814,2.656557692413462
2025-06-15 03:38:00-07:00,3.381723620904099,3.5019885976394867
2025-06-15 03:53:00-07:00,1.4025280267561369,3.852620604328521
2025-06-15 04:08:00-07:00,0.0,3.852620604328521
2025-06-15 04:23:00-07:00,1.1062523522474965,4.129183692390395
2025-06-15 04:38:00-07:00,0.0,4.129183692390395
2025-06-15 04:53:00-07:00,2.6353509039218177,4.78802141837085
2025-06-15 05:08:00-07:00,0.0,4.78802141837085
2025-06-15 05:23:00-07:00,0.0,4.78802141837085
2025-06-15 05:38:00-07:00,1.7691031492117686,5.230297205673792
2025-06-15 05:53:00-07:00,14.614420450216144,8.883902318227829
2025-06-15 06:08:00-07:00,17.58321490635431,13.279706044816407
2025-06-15 06:23:00-07:00,23.80423450073091,19.230764669999136
2025-06-15 06:38:00-07:00,30.994189368204747,26.979312012050322
2025-06-15 06:53:00-07:00,40.50339936699002,37.105161853797824
2025-06-15 07:08:00-07:00,46.72747318817244,48.787030150840934
2025-06-15 07:23:00-07:00,53.43551301381456,62.14590840429457
2025-06-15 07:38:00-07:00,59.868364684621504,77.11299957544995
2025-06-15 07:53:00-07:00,71.16078541682175,94.90319592965538
2025-06-15 08:08:00-07:00,69.42488509688842,112.25941720387749
2025-06-15 08:23:00-07:00,74.72934673643161,130.94175388798539
